,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,91.69,65.45,53.69,47.57,0.0,0.0,18.34,2.47,88.87
conll2003,62.24,96.08,69.13,61.7,0.0,0.0,22.71,4.61,0.0
wnut2017,41.89,85.7,68.32,54.52,0.0,0.0,20.07,15.58,0.0
panx_dataset/en,32.81,73.37,53.69,93.41,0.0,0.0,12.25,1.16,0.0
bionlp2004,0.0,0.0,0.0,0.0,79.04,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,88.88,0.0,0.0,0.0
fin,48.25,73.21,60.99,58.99,0.0,0.0,82.05,19.73,0.0
mit_restaurant,5.68,18.37,21.2,24.07,0.0,0.0,18.06,83.4,0.0
mit_movie_trivia,11.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1
all_5000,89.03,92.79,55.96,88.8,76.51,79.97,75.46,83.69,71.99
all_10000,90.37,93.63,59.15,91.16,78.1,83.16,76.44,85.32,73.71
all_15000,90.96,93.84,60.95,91.36,78.37,84.65,75.51,85.21,74.48
all_no_mit_5000,89.04,92.41,56.94,88.6,76.76,79.36,74.06,11.56,36.49
all_no_mit_10000,90.51,93.68,60.27,91.01,77.9,83.44,74.77,10.92,44.54
all_no_mit_15000,90.72,94.26,60.86,91.68,78.9,85.39,76.78,10.55,34.76
