,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,89.36,59.99,50.14,44.76,0.0,0.0,15.15,4.59,88.61
conll2003,57.74,94.8,67.03,57.9,0.0,0.0,20.59,23.94,0.0
wnut2017,39.89,80.38,61.38,52.39,0.0,0.0,19.55,18.87,0.0
panx_dataset/en,28.51,69.75,51.27,92.4,0.0,0.0,12.06,3.05,0.0
bionlp2004,0.0,0.0,0.0,0.0,79.05,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,88.91,0.0,0.0,0.0
fin,46.0,72.04,61.54,54.83,0.0,0.0,83.06,24.51,0.0
mit_restaurant,4.65,21.77,22.93,22.36,0.0,0.0,5.48,83.4,0.0
mit_movie_trivia,10.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1
all_lower,88.5,92.1,58.06,90.01,79.02,84.61,74.56,85.32,74.19
