,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,90.55,87.2,61.78,64.75,0.0,0.0,36.05,15.69,84.56
conll2003,50.42,95.3,65.78,61.39,0.0,0.0,23.36,36.36,0.0
wnut2017,33.31,86.39,79.36,48.93,0.0,0.0,40.3,30.47,0.0
panx_dataset/en,22.08,66.13,63.44,93.38,0.0,0.0,9.98,10.0,0.0
bionlp2004,0.0,0.0,0.0,0.0,74.48,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,87.26,0.0,0.0,0.0
fin,37.7,76.72,54.41,56.85,0.0,0.0,77.78,25.39,0.0
mit_restaurant,3.29,15.84,16.2,18.81,0.0,0.0,11.93,82.71,0.0
mit_movie_trivia,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.64
all_5000,88.16,93.97,70.01,88.73,71.53,80.64,72.5,82.32,69.92
all_10000,89.72,94.02,70.62,91.75,73.14,82.88,73.31,84.25,71.66
all_15000,90.35,94.38,74.76,91.91,73.64,85.02,71.93,84.33,72.65
all_no_mit_5000,88.33,93.37,75.58,89.03,71.9,81.27,71.9,34.44,74.07
all_no_mit_10000,89.8,94.17,73.53,91.56,73.18,83.75,71.23,33.48,76.19
all_no_mit_15000,90.17,94.84,75.69,92.16,74.57,85.54,74.28,35.58,74.26
