,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,88.42,80.39,58.25,61.59,0.0,0.0,32.89,19.75,82.79
conll2003,46.55,94.3,61.59,57.48,0.0,0.0,25.42,51.0,0.0
wnut2017,31.82,79.75,79.59,47.67,0.0,0.0,41.27,31.78,0.0
panx_dataset/en,18.82,62.53,65.68,92.19,0.0,0.0,10.5,31.71,0.0
bionlp2004,0.0,0.0,0.0,0.0,74.66,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,87.83,0.0,0.0,0.0
fin,37.14,76.27,57.84,53.5,0.0,0.0,78.89,36.88,0.0
mit_restaurant,2.73,20.95,19.11,19.06,0.0,0.0,3.6,82.71,0.0
mit_movie_trivia,45.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.64
all_lower,88.18,92.72,70.22,90.57,74.69,85.14,68.95,84.61,72.36
