,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,92.86,52.38,47.48,37.59,0.0,0.0,12.3,1.34,93.65
conll2003,81.31,96.88,72.84,62.01,0.0,0.0,22.09,2.46,0.0
wnut2017,56.43,85.02,59.98,61.56,0.0,0.0,13.37,10.47,0.0
panx_dataset/en,63.8,82.38,46.54,93.44,0.0,0.0,15.87,0.62,0.0
bionlp2004,0.0,0.0,0.0,0.0,84.21,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,90.55,0.0,0.0,0.0
fin,67.01,70.02,69.38,61.3,0.0,0.0,86.82,16.13,0.0
mit_restaurant,20.85,21.87,30.67,33.39,0.0,0.0,37.14,84.1,0.0
mit_movie_trivia,6.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.62
all_5000,89.92,91.64,46.61,88.87,82.24,79.31,78.68,85.12,74.18
all_10000,91.04,93.24,50.88,90.57,83.78,83.43,79.84,86.42,75.87
all_15000,91.58,93.31,51.44,90.81,83.76,84.29,79.46,86.1,76.42
all_no_mit_5000,89.75,91.48,45.68,88.17,82.33,77.55,76.36,6.95,24.21
all_no_mit_10000,91.24,93.2,51.07,90.47,83.26,83.13,78.68,6.53,31.47
all_no_mit_15000,91.27,93.68,50.88,91.2,83.77,85.24,79.46,6.19,22.69
