,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,90.33,47.85,44.02,35.15,0.0,0.0,9.84,2.59,95.31
conll2003,76.0,95.31,73.53,58.33,0.0,0.0,17.31,15.64,0.0
wnut2017,53.42,81.02,49.95,58.15,0.0,0.0,12.81,13.42,0.0
panx_dataset/en,58.78,78.87,42.04,92.62,0.0,0.0,14.17,1.6,0.0
bionlp2004,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,90.02,0.0,0.0,0.0
fin,60.39,68.25,65.74,56.23,0.0,0.0,87.69,18.35,0.0
mit_restaurant,15.74,22.66,28.67,27.04,0.0,0.0,11.43,84.1,0.0
mit_movie_trivia,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.62
all_lower,88.81,91.49,49.49,89.45,83.9,84.08,81.15,86.04,76.12
