,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,87.75,79.78,56.87,58.55,0.0,0.0,33.33,15.69,84.56
conll2003,49.12,92.09,65.31,53.17,0.0,0.0,20.97,36.36,0.0
wnut2017,30.46,86.14,67.85,48.18,0.0,0.0,40.3,30.47,0.0
panx_dataset/en,20.46,53.21,62.5,83.27,0.0,0.0,7.9,10.0,0.0
bionlp2004,0.0,0.0,0.0,0.0,69.78,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,87.02,0.0,0.0,0.0
fin,34.21,59.5,51.48,41.93,0.0,0.0,71.24,25.39,0.0
mit_restaurant,2.85,15.84,16.2,18.81,0.0,0.0,11.93,78.64,0.0
mit_movie_trivia,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.42
all_5000,84.44,89.23,63.84,78.36,65.74,80.16,71.79,76.72,63.21
all_10000,86.22,89.95,63.29,81.83,68.01,82.47,72.7,79.71,68.32
all_15000,87.08,90.11,67.74,82.1,68.98,84.56,71.23,80.13,69.92
all_no_mit_5000,84.95,88.81,68.09,78.62,66.07,80.94,69.71,34.44,74.07
all_no_mit_10000,86.8,89.77,66.13,81.83,68.26,83.43,68.99,33.48,76.19
all_no_mit_15000,87.0,90.61,68.22,82.4,69.7,85.12,69.78,35.58,74.26
