,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,85.79,74.01,52.74,55.25,0.0,0.0,31.58,19.75,82.79
conll2003,44.54,90.36,58.99,49.51,0.0,0.0,23.2,51.0,0.0
wnut2017,28.94,79.05,66.47,46.6,0.0,0.0,41.27,31.78,0.0
panx_dataset/en,17.23,48.03,64.05,81.68,0.0,0.0,9.17,31.71,0.0
bionlp2004,0.0,0.0,0.0,0.0,69.61,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,87.46,0.0,0.0,0.0
fin,33.06,58.41,55.86,40.47,0.0,0.0,75.86,36.88,0.0
mit_restaurant,2.43,20.95,19.11,19.06,0.0,0.0,3.6,78.64,0.0
mit_movie_trivia,45.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.42
all_lower,84.99,87.95,61.78,80.57,69.5,84.71,67.97,79.67,69.36
