,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,90.56,47.94,43.82,34.07,0.0,0.0,11.51,1.34,93.65
conll2003,79.41,93.86,72.32,54.25,0.0,0.0,20.16,2.46,0.0
wnut2017,52.12,84.77,51.53,60.75,0.0,0.0,13.37,10.47,0.0
panx_dataset/en,60.72,67.45,45.85,84.78,0.0,0.0,12.7,0.62,0.0
bionlp2004,0.0,0.0,0.0,0.0,79.63,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,90.36,0.0,0.0,0.0
fin,62.26,55.88,66.09,47.35,0.0,0.0,82.56,16.13,0.0
mit_restaurant,18.3,21.87,30.67,33.39,0.0,0.0,37.14,80.64,0.0
mit_movie_trivia,6.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.14
all_5000,86.93,87.36,42.62,80.09,76.71,78.97,77.91,80.51,70.47
all_10000,88.17,89.58,45.78,82.24,78.85,83.13,79.46,82.89,73.99
all_15000,88.76,89.49,46.98,82.48,79.25,83.93,78.68,82.8,74.92
all_no_mit_5000,87.01,87.36,41.41,79.7,76.74,77.47,74.03,6.95,24.21
all_no_mit_10000,88.69,89.15,46.05,82.24,78.62,82.99,76.74,6.53,31.47
all_no_mit_15000,88.61,89.95,46.24,82.93,79.07,84.95,75.19,6.19,22.69
