,ontonotes5,conll2003,wnut2017,panx_dataset/en,bionlp2004,bc5cdr,fin,mit_restaurant,mit_movie_trivia
ontonotes5,88.3,44.05,39.96,31.61,0.0,0.0,9.45,2.59,95.31
conll2003,73.0,91.74,70.42,50.83,0.0,0.0,16.15,15.64,0.0
wnut2017,49.14,80.31,42.15,57.03,0.0,0.0,12.81,13.42,0.0
panx_dataset/en,55.34,61.51,41.0,83.63,0.0,0.0,12.6,1.6,0.0
bionlp2004,0.0,0.0,0.0,0.0,79.04,0.0,0.0,0.0,0.0
bc5cdr,0.0,0.0,0.0,0.0,0.0,89.7,0.0,0.0,0.0
fin,54.84,53.86,63.49,44.29,0.0,0.0,84.62,18.35,0.0
mit_restaurant,14.18,22.66,28.67,27.04,0.0,0.0,11.43,80.64,0.0
mit_movie_trivia,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.14
all_lower,86.19,87.28,43.83,80.99,79.0,83.77,80.0,82.07,74.48
