experiment,model,data,test,test/span_detection,test (corporation),test (event),test (group),test (location),test (person),test (product),test (work of art),test_2020,test_2020/span_detection
baseline,bert_base,SRC,59.48,73.71,45.2,37.98,53.06,62.26,80.62,59.58,37.22,60.66,71.69
baseline,bert_base (adapter),SRC,59.17,73.9,45.3,38.96,55.2,60.77,80.0,60.64,32.83,59.5,71.82
baseline,bert_large,SRC,60.93,74.77,47.11,42.81,55.47,58.29,80.26,63.6,37.25,61.82,73.29
baseline,bert_large (adapter),SRC,59.93,75.15,46.06,38.98,55.68,62.92,81.15,59.31,35.31,60.24,72.38
baseline,bertweet_base,SRC,62.59,77.17,47.48,43.67,57.37,63.14,82.35,65.08,44.07,65.41,76.92
baseline,bertweet_base (adapter),SRC,62.77,76.8,46.77,43.0,58.25,65.54,82.87,64.56,43.44,62.66,74.29
baseline,bertweet_large,SRC,63.68,77.31,50.88,44.74,58.41,63.08,82.1,65.11,45.06,65.06,76.45
baseline,bertweet_large (adapter),SRC,62.75,76.95,48.42,44.23,58.85,64.65,81.78,63.57,43.98,64.08,74.93
baseline,roberta_base,SRC,62.93,76.97,47.22,43.46,57.58,65.21,82.97,65.66,43.68,63.79,74.95
baseline,roberta_base (adapter),SRC,61.87,76.16,47.52,42.03,56.93,61.98,82.34,64.24,42.29,63.62,74.21
baseline,roberta_large,SRC,64.53,78.01,52.87,45.88,59.99,64.42,84.19,64.15,45.58,66.07,76.39
baseline,roberta_large (adapter),SRC,62.98,76.8,48.55,44.76,58.77,64.57,83.27,64.0,41.32,64.67,74.95
baseline,xlm_roberta_base,SRC,62.02,76.62,47.34,42.76,56.63,67.02,81.14,62.42,40.48,63.43,75.07
baseline,xlm_roberta_base (adapter),SRC,60.87,75.73,45.07,41.78,56.26,63.57,81.85,62.35,37.84,63.19,74.77
baseline,xlm_roberta_large,SRC,63.58,77.41,50.54,45.95,58.46,64.05,82.73,64.28,43.98,64.51,75.42
baseline,xlm_roberta_large (adapter),SRC,62.75,76.61,48.43,43.98,58.08,66.37,82.94,62.15,40.47,63.37,74.05
baseline_2021,roberta_large,SRC + TRG,65.92,78.33,55.69,47.12,62.51,66.54,82.98,68.87,44.08,66.31,75.87
baseline_2021,roberta_large,SRC -> TRG,66.8,79.09,54.64,48.99,62.62,67.93,84.76,67.05,46.97,66.54,76.45
baseline_2021,roberta_large,TRG,64.57,77.63,49.91,45.82,60.68,65.51,83.13,64.83,42.85,63.17,73.68
st_extra_large_2020,roberta_large,SRC + TRG,64.91,78.16,53.62,44.45,61.2,64.21,83.98,65.89,46.76,66.45,76.56
st_extra_large_2020,roberta_large,SRC -> TRG,64.93,78.39,53.16,45.83,60.8,64.48,84.36,64.19,47.9,66.6,76.93
st_extra_large_2020,roberta_large,TRG,64.91,78.07,53.67,45.04,61.56,65.13,84.45,63.83,46.41,66.79,77.05
st_extra_large_2021,roberta_large,SRC + TRG,64.73,78.31,52.36,45.98,61.27,63.73,83.85,65.2,46.5,67.55,77.36
st_extra_large_2021,roberta_large,SRC -> TRG,64.09,77.77,52.36,45.59,60.65,64.72,82.56,64.86,44.94,67.23,77.35
st_extra_large_2021,roberta_large,TRG,64.3,77.96,53.44,45.05,60.65,64.0,83.95,63.3,45.2,66.86,77.0
st_extra_medium_2020,roberta_large,SRC + TRG,64.72,78.18,52.25,43.64,61.72,65.75,84.39,65.54,43.98,66.21,76.18
st_extra_medium_2020,roberta_large,SRC -> TRG,64.6,78.03,53.28,45.47,60.64,63.69,82.87,63.7,47.29,66.42,76.86
st_extra_medium_2020,roberta_large,TRG,62.91,76.83,50.35,42.25,59.19,63.49,82.64,62.3,44.05,64.19,74.94
st_extra_medium_2021,roberta_large,SRC + TRG,64.78,78.17,53.1,46.81,59.6,66.06,84.05,64.37,45.99,67.36,76.83
st_extra_medium_2021,roberta_large,SRC -> TRG,64.73,78.24,53.03,45.98,60.08,65.25,84.65,64.29,46.04,66.21,76.13
st_extra_medium_2021,roberta_large,TRG,63.89,77.81,52.39,45.76,59.49,64.21,83.9,62.6,44.52,66.27,76.88
st_extra_small_2020,roberta_large,SRC + TRG,64.6,77.83,53.77,45.15,60.75,64.18,83.62,63.48,47.29,66.74,76.78
st_extra_small_2020,roberta_large,SRC -> TRG,64.63,78.22,52.23,46.48,60.27,63.87,84.03,64.54,46.24,66.11,76.69
st_extra_small_2020,roberta_large,TRG,63.43,77.46,52.36,44.97,60.33,63.66,83.74,61.8,41.75,64.46,74.62
st_extra_small_2021,roberta_large,SRC + TRG,64.91,78.36,52.78,46.46,60.19,65.14,83.66,66.5,46.48,66.44,76.66
st_extra_small_2021,roberta_large,SRC -> TRG,64.23,78.14,52.14,46.11,60.08,64.18,83.73,64.54,45.23,65.72,76.4
st_extra_small_2021,roberta_large,TRG,64.52,78.33,52.63,46.02,60.54,65.86,84.0,63.14,46.15,66.02,76.5
